file,start,end,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp
D:\Lulu\Research\0709\LAS_Mandarin_PyTorch-master\data_process\CTT5-1-16\15CTT.wav,0 days,0 days 00:00:42.658000,35.15436,0.16556595,32.154522,34.16105,35.740765,3.5862427,282.75946,477.0241,73.945526,74.50809,0.0878303,1.5252519,0.0010339657,0.013416305,0.17411576,0.1730818,2.2602744,1.6618943,2.1036508,1.1684138,0.0202393,1.68544,12.4133415,1.774916,6.3234267,2.82875,-1.3123481,-15.964868,-3.6898866,-4.7645416,0.02182263,1.8212239,1.1950926,0.8484151,8.150603,0.4767051,-1.2849212,-10.04684,24.481703,0.8408717,651.1784,0.3921827,1316.215,0.20602304,-138.14566,-0.6619315,1671.3396,0.15853977,1045.2524,0.32060808,-133.55345,-0.6696598,2830.865,0.10569394,958.66077,0.38951302,-137.35812,-0.6120287,-11.001178,-1.1393789,25.729546,0.63297063,0.056987844,0.73332006,-0.010125337,-2.4204504,0.047059495,0.8907101,26.613037,0.8418302,4.551694,4.997638,-9.7967205,-2.875522,-13.820078,-1.5582074,-12.6363535,23.703909,0.070972584,0.05397483,0.014171609,1.5243902,1.8783752,0.176875,0.1339085,0.33424997,0.54947656,-42.084846
D:\Lulu\Research\0709\LAS_Mandarin_PyTorch-master\data_process\CTT5-1-16\16CTT.wav,0 days,0 days 00:00:47.993000,31.47453,0.049317796,30.626495,31.216072,31.919811,1.2933159,66.37346,40.19451,5.0549917,13.916231,0.0083964635,1.7699459,0.0010339657,0.0010339657,0.0126103535,0.011576388,0.33190763,0.3795372,0.29350874,0.26796782,0.0009624875,2.4003997,5.6605144,2.828701,7.5568404,1.7345214,6.5446405,2.3559806,4.137594,3.099711,0.021491136,0.4342487,1.787395,0.6136378,4.9545608,0.4868687,2.2029774,2.1483567,19.604433,0.37422138,522.4066,0.378023,1224.0665,0.15870397,-198.7246,-0.09829835,1516.9332,0.16541387,931.96075,0.5932995,-198.77042,-0.09516613,2600.7522,0.11223131,865.6493,0.401964,-198.88422,-0.0903085,-9.999498,-0.51313937,19.489561,0.31948486,0.05695862,0.35210854,0.004990736,1.7161865,0.012410689,0.49476802,35.740963,0.23736009,0.124164134,92.42781,10.691836,1.6575397,3.7121017,4.8839803,-13.844487,23.894142,0.06818387,0.054931346,0.0018771514,0.8336807,0.14604631,0.06714286,0.0376883,5.90875,11.192806,-67.562874
D:\Lulu\Research\0709\LAS_Mandarin_PyTorch-master\data_process\CTT5-1-16\22CTT.wav,0 days,0 days 00:00:31.100000,33.14098,0.16491367,31.129494,32.794006,34.229767,3.1002731,197.10124,285.2285,417.4654,900.0314,0.03652203,1.4473709,0.0010339657,0.0070826993,0.07370459,0.07267062,0.98862094,0.65180004,0.9215121,0.6009249,0.008659218,1.5976752,9.771883,2.0743828,10.122902,1.807471,10.1942005,2.0400643,4.566623,3.8057337,0.02986516,1.885288,1.3502568,0.7392327,6.491075,0.57781506,12.407048,1.3973277,29.165028,0.69918525,644.0766,0.37033597,1233.8472,0.2400044,-163.59631,-0.44208017,1700.298,0.14035428,971.0644,0.3878707,-163.90991,-0.41785386,2856.0276,0.09202975,838.6316,0.46398944,-164.8946,-0.4032652,-14.126139,-1.1017054,25.357367,0.6192424,0.025704628,1.4844936,0.0052682967,5.443167,0.024172973,0.73067003,28.921366,0.6549515,15.594703,1.3075701,23.351173,1.0933397,-2.2842736,-8.791076,-10.96946,22.856277,0.06474154,0.056428093,0.011184721,1.5117401,1.5463918,0.125625,0.11168978,0.4786,0.8674168,-51.08055
D:\Lulu\Research\0709\LAS_Mandarin_PyTorch-master\data_process\CTT5-1-16\28CTT.wav,0 days,0 days 00:00:24.384000,31.493805,0.30240586,26.481415,28.147581,31.267565,4.78615,593.0912,972.19946,119.75481,143.86757,0.018432342,2.8959658,0.0010339657,0.0010339657,0.0010339657,0.0,1.3024873,1.065587,1.1877453,1.0020595,0.006894995,2.855339,3.9375823,3.9409046,2.8735666,4.0536814,4.3516355,2.9246664,3.562256,3.4029887,0.029634701,0.65801215,1.6772001,0.6487127,4.6862917,0.8129342,5.072693,3.2642064,32.11089,0.87704873,750.2033,0.33831427,1289.4755,0.26446363,-185.61006,-0.25741887,1842.1233,0.13173763,1184.3485,0.23515107,-185.0048,-0.25832877,2936.821,0.099625416,1106.735,0.290786,-185.32617,-0.24918406,-20.13518,-1.2054414,33.544025,0.71450686,-0.015682923,-2.5457997,0.001081631,25.725882,0.0501577,0.6582054,29.371578,1.0505265,15.875353,1.6369526,27.047228,0.65938824,15.473151,1.2457677,-14.790094,26.350124,0.100315444,0.0717241,0.026821394,0.57447684,0.6990132,0.13352941,0.115297124,1.355,2.7105694,-47.98328
D:\Lulu\Research\0709\LAS_Mandarin_PyTorch-master\data_process\CTT5-1-16\34CTT.wav,0 days,0 days 00:00:25.816000,36.730083,0.29122213,28.465101,33.536827,38.52491,10.059809,158.26128,57.051075,331.41943,351.37695,0.024563463,1.0493127,0.0010339657,0.017343892,0.044890836,0.04385687,0.3654224,0.2585599,0.38390684,0.23584627,0.002557368,1.5318203,13.658316,1.5512681,2.932617,6.02015,6.4247527,3.982694,1.962006,9.867601,0.037324112,1.2960073,1.2395021,0.66202164,3.9173384,1.1583253,-11.776317,-1.6326349,1.8655541,12.98965,830.56396,0.36465082,1246.9697,0.3848237,-195.34798,-0.1605056,1731.6727,0.17164943,1064.3916,0.29612437,-194.22655,-0.17568685,2880.4692,0.14886625,1025.9141,0.41524732,-193.98224,-0.17555532,1.352124,11.583556,13.215032,1.572489,0.07336237,0.38407817,0.006762195,2.7009814,0.012157722,0.4627172,20.181252,1.5986996,-18.195656,-1.1531965,-19.211515,-1.7274238,-2.322241,-10.566713,-6.824818,18.449966,0.061112497,0.033926465,0.002979307,2.1705427,0.5048544,0.053846154,0.029752428,1.5425,1.728708,-62.675953
D:\Lulu\Research\0709\LAS_Mandarin_PyTorch-master\data_process\CTT5-1-16\35CTT.wav,0 days,0 days 00:00:44.964000,28.055855,0.07817709,26.189571,27.693417,30.056385,3.8668137,230.23924,238.01309,47.827583,37.371807,0.013118366,1.4551941,0.0010339657,0.00539686,0.022225713,0.021191748,0.33672675,0.26130924,0.35850814,0.26382893,0.0019716765,2.0471954,11.392254,1.5341278,10.27667,1.4559232,12.953136,1.7929022,2.9547787,5.372953,0.026770813,1.0864283,1.6863387,0.73751664,5.4539285,0.5657776,1.2523959,5.782597,31.238258,0.40750438,551.9305,0.3279518,1391.2708,0.242643,-191.26854,-0.2069174,1698.7528,0.15239969,1082.4099,0.2806893,-192.04662,-0.18561321,2787.6257,0.110499464,984.1726,0.37991905,-192.2411,-0.18111466,-21.458385,-0.4099668,31.310976,0.3239784,0.051096104,0.46080104,-0.0127960965,-1.5600896,0.012809878,0.6342709,40.2866,0.21930918,14.864212,1.2043309,19.754543,1.50807,-10.219185,-1.9469293,-17.073965,25.865528,0.05138083,0.04371422,0.002444242,1.512792,0.71269494,0.061562497,0.034470037,1.242647,1.5824538,-62.057224
D:\Lulu\Research\0709\LAS_Mandarin_PyTorch-master\data_process\CTT5-1-16\40CTT.wav,0 days,0 days 00:00:23.426000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004944346,1.6233772,0.0010339657,0.0010339657,0.008386643,0.007352677,0.14856805,0.133299,0.14541428,0.09994576,0.0003755525,2.4605699,4.3483124,2.8033245,4.671357,2.4879243,1.9165986,5.95577,1.2268002,7.191041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.994334,23.150312,0.08277719,0.059459116,0.001206335,0.8970525,0.0,0.0,0.0,23.35,0.0,-75.91644
D:\Lulu\Research\0709\LAS_Mandarin_PyTorch-master\data_process\CTT5-1-16\42CTT.wav,0 days,0 days 00:00:25.687000,27.561739,0.25464094,23.734276,26.297306,28.634392,4.900116,380.61362,739.7923,94.44978,110.827774,0.10997104,1.5367931,0.0010339657,0.0073283096,0.21501163,0.21397766,3.949576,2.7272148,2.863136,2.2888024,0.035550214,1.634876,15.607316,1.5003316,5.830167,2.9605732,12.330292,1.6541274,6.712399,2.2472098,0.024657074,1.6965334,1.3567257,0.81907773,4.9307013,0.62738264,8.971643,1.9357859,28.224499,0.76867807,590.4852,0.40980524,1318.1151,0.18098071,-132.2492,-0.67624956,1663.6439,0.16009279,985.2365,0.38331032,-132.78175,-0.6470122,2721.9204,0.13485734,940.7952,0.4031914,-133.56886,-0.63330084,-15.026151,-0.9755479,20.257862,0.74993515,0.009617934,3.48908,-0.0072313766,-2.912723,0.079346694,0.8677058,36.496643,0.5387082,7.523713,3.0658898,23.566975,1.030372,13.007741,1.4702829,-11.583061,19.98826,0.07959615,0.06311323,0.034606095,1.5582392,1.4832163,0.24552631,0.2901424,0.40815789,1.0647753,-37.751106
D:\Lulu\Research\0709\LAS_Mandarin_PyTorch-master\data_process\CTT5-1-16\51CTT.wav,0 days,0 days 00:01:40,31.862007,0.23007552,27.644077,30.691467,34.084785,6.440708,745.266,1143.6892,181.55319,590.0847,0.08085601,2.1739616,0.0010339657,0.0010339657,0.119185135,0.118151166,4.2005525,3.7606833,4.1448417,3.3214877,0.030028297,2.2735949,8.114979,2.3950675,6.550553,2.7431571,6.4276834,2.79251,0.6934442,20.193567,0.025346542,1.5653502,1.4240587,0.71921206,5.410629,0.65124625,6.1669607,2.6483757,26.189383,0.9388437,639.24457,0.38776532,1258.989,0.20925267,-165.78384,-0.42871594,1707.661,0.15918313,1031.5421,0.41003686,-165.45349,-0.41315374,2813.3782,0.097460225,944.5043,0.40134186,-165.98311,-0.40329924,-13.385477,-1.2766254,25.381054,0.7990776,0.010167346,4.5828996,-0.005252768,-5.0044446,0.10491753,0.89992243,30.188755,0.75370836,12.009514,2.0400798,22.513712,1.2262043,-2.2614412,-10.321797,-11.337247,21.380089,0.08804578,0.06371725,0.053906646,1.040104,1.3608166,0.14125,0.117626265,0.59465647,1.4873478,-38.683033
D:\Lulu\Research\0709\LAS_Mandarin_PyTorch-master\data_process\CTT5-1-16\53CTT.wav,0 days,0 days 00:00:29,27.314878,0.29515612,24.086617,25.928366,26.74923,2.662613,143.11707,107.10698,320.20273,371.8726,0.01611559,1.7012806,0.0010339657,0.0010339657,0.027043914,0.026009949,0.49913412,0.37123945,0.41807714,0.28986958,0.0017274726,2.0017643,8.069539,2.479941,6.5987253,2.2088208,7.571805,2.8131,2.1011455,6.478142,0.016472993,1.3566273,1.2521454,0.9757889,5.5306134,0.65019083,6.8920074,1.7062742,21.144442,1.0101826,564.6835,0.35179278,1258.0015,0.21705815,-187.23862,-0.25246915,1608.9926,0.17001002,877.2091,0.36283648,-187.20581,-0.24757701,2697.3027,0.11338174,872.7316,0.3203131,-187.12477,-0.24650921,-10.50168,-1.4511291,22.92058,0.7840604,0.031015115,0.63362956,-0.015755324,-1.5223517,0.00869696,0.5607939,35.16615,0.7085995,6.589088,3.4847503,12.274257,2.6658099,-12.6424265,-1.5252486,-11.420195,21.763268,0.06614663,0.05311128,0.0026272365,1.3107969,0.69108504,0.1025,0.07203298,1.2619047,1.5586855,-61.597385
D:\Lulu\Research\0709\LAS_Mandarin_PyTorch-master\data_process\CTT5-1-16\55CTT.wav,0 days,0 days 00:00:31,46.853947,0.28309605,34.38573,35.562172,61.17006,26.784328,0.0,0.0,-2.1261244,0.0,0.010164962,1.4116838,0.0010339657,0.0046902574,0.016855277,0.015821312,0.26561874,0.20044972,0.25913167,0.1743965,0.0009558059,2.053492,8.282674,2.020547,6.2472506,2.19058,1.998801,8.797378,-0.9107467,-14.194307,0.011147575,0.39573792,1.2199782,0.4645854,6.7020545,0.46454087,-29.383589,-0.9507236,-18.17814,-1.9123544,712.2373,0.25847474,1191.6464,0.5369947,-200.53458,-0.04424716,1585.5547,0.14506651,1156.4396,0.14274667,-200.3153,-0.055790734,2798.8508,0.089047685,992.6941,0.5727386,-200.06575,-0.067663066,14.862124,1.4225799,-6.026233,-4.4457827,0.056561507,0.64493835,0.024663186,0.58895576,0.01583956,0.18736915,-1.9306037,-17.206587,-17.488178,-0.7915075,11.444928,2.5683925,-30.245638,-0.59070367,-10.851144,22.794928,0.06634257,0.045326866,0.0015571337,1.3230075,0.064641245,0.055,0.005,10.26,7.569927,-70.19236
D:\Lulu\Research\0709\LAS_Mandarin_PyTorch-master\data_process\CTT5-1-16\70CTT.wav,0 days,0 days 00:00:28,47.449383,0.1884757,39.317955,51.048767,51.91331,12.595356,111.29251,77.12243,715.3969,0.0,0.015163896,0.94493604,0.0056806435,0.011084151,0.02192616,0.016245518,0.24060254,0.17954463,0.22058633,0.15916939,0.0015388081,1.4726175,11.184389,1.7976261,12.435893,1.3500252,10.147703,2.261328,-2.121649,-9.317205,0.021257512,0.61424536,2.960824,0.23534736,-0.20120627,-12.018253,-12.415644,-0.8807095,-24.963442,-1.7073917,983.4764,0.38098416,804.3683,0.6481848,-200.65643,-0.032167174,1992.6954,0.24207583,1314.789,0.14716028,-200.4028,-0.045325182,3057.7297,0.14829472,1209.1003,0.20720407,-200.3811,-0.04688146,19.636143,1.2650901,-10.064574,-3.416329,0.045633625,0.84226274,0.0192572,1.947109,0.011230068,0.3418762,-22.562506,-1.7950479,5.297028,2.093244,25.497309,1.2139257,-20.099045,-0.768162,-10.348407,20.91306,0.032538366,0.024291862,0.0016089721,2.0007145,0.035790984,0.02,0.0,9.28,4.049518,-68.73934
D:\Lulu\Research\0709\LAS_Mandarin_PyTorch-master\data_process\CTT5-1-16\83CTT.wav,0 days,0 days 00:00:35,25.238495,0.05312462,24.31329,24.802048,26.711308,2.398018,208.22783,134.70316,2.5640156,16.47439,0.0090465145,1.1041144,0.0010339657,0.005590579,0.014177009,0.013143044,0.17538255,0.13457665,0.1646781,0.11850832,0.0011438399,1.6830509,7.587709,2.4232411,13.677589,1.1479635,9.906152,1.6598547,4.8547344,3.068964,0.07495946,0.6034034,3.3036373,0.55980563,3.776481,0.56346285,-0.39198914,-21.52893,49.285736,0.17758857,525.0061,0.38101017,1335.1533,0.09718266,-199.80742,-0.06337417,1597.1191,0.16646497,1055.8975,0.19399579,-199.89981,-0.05706283,2840.0159,0.0861241,1018.0071,0.16433692,-200.01488,-0.050921973,-26.773157,-0.4621992,44.00174,0.18563066,0.023570755,1.743194,0.009651047,1.1915289,0.010347972,0.34927672,41.56557,0.18166718,28.729342,0.47834626,11.542295,1.7256032,13.025581,1.1019807,-13.766001,24.107862,0.037396885,0.04306323,0.0014583768,1.8576738,0.11448197,0.0325,0.008291562,5.775,4.469298,-68.08249
D:\Lulu\Research\0709\LAS_Mandarin_PyTorch-master\data_process\CTT5-1-16\84CTT.wav,0 days,0 days 00:01:53,36.3538,0.22484618,33.61456,36.897118,39.53934,5.924782,239.44914,100.2073,338.58408,380.98877,0.0150652565,1.1368657,0.0010339657,0.008918547,0.026440814,0.025406849,0.30059183,0.20131473,0.2461482,0.17480814,0.0015176805,1.4699355,12.903988,1.4065523,10.424082,1.7201211,7.5241957,2.861945,-4.0088763,-3.8508906,0.029987158,0.8491598,1.9901938,0.74644744,2.374145,2.6809373,2.7550838,7.2558217,11.6473055,2.731729,698.5011,0.37755075,1348.1493,0.25450706,-200.38821,-0.05237897,1637.8215,0.14325742,1157.5453,0.36419898,-200.05542,-0.061915345,2758.071,0.10468504,833.13446,0.32631445,-200.10225,-0.058524862,-4.4244847,-3.2388117,20.691671,0.71446633,0.07412322,0.3826896,0.0074076657,3.9628477,0.012582347,0.35055214,32.079445,0.6838704,-20.110247,-1.3293697,-19.127258,-1.075382,-16.220484,-1.4969821,-13.188859,23.427488,0.06598436,0.0321537,0.0021088535,1.947075,0.07083408,0.0475,0.024874683,9.358333,7.5440946,-67.313576
